SURVEY: 
SNID: SN2000fa   
SNTYPE: 10   #Ia
FILTERS: VzuIiRgrBU
REDSHIFT_FINAL: 0.0191409 +- 0
PEAKMJD: 51891.82074784887
RA: 7.2583 deg
DECL: 23.4284 deg
IAUC: UNKNOWN
MWEBV: 0.00

NOBS: 107
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS: 51914.310000   R   NULL   21797.164411   281.074707   16.654000   0.014000
OBS: 51914.310000   I   NULL   19606.496672   794.889198   16.769000   0.044000
OBS: 51914.310000   V   NULL   17282.238729   413.915110   16.906000   0.026000
OBS: 51914.310000   B   NULL   7447.319739   247.000319   17.820000   0.036000
OBS: 51916.300000   I   NULL   22761.453931   1090.756799   16.607000   0.052000
OBS: 51916.300000   R   NULL   21617.227843   597.420075   16.663000   0.030000
OBS: 51916.300000   V   NULL   16069.412530   562.590291   16.985000   0.038000
OBS: 51916.300000   B   NULL   6767.059577   662.237792   17.924000   0.106000
OBS: 51927.270000   I   NULL   18758.581738   1089.385224   16.817000   0.063000
OBS: 51927.270000   R   NULL   13182.567386   461.521814   17.200000   0.038000
OBS: 51927.270000   V   NULL   8150.795556   443.249309   17.722000   0.059000
OBS: 51927.270000   B   NULL   3302.174353   350.742331   18.703000   0.115000
OBS: 51929.330000   I   NULL   17394.021398   801.448870   16.899000   0.050000
OBS: 51929.330000   R   NULL   11978.432778   386.239354   17.304000   0.035000
OBS: 51929.330000   V   NULL   7066.429004   253.910307   17.877000   0.039000
OBS: 51929.330000   B   NULL   2826.181180   245.140935   18.872000   0.094000
OBS: 51931.320000   I   NULL   15966.142460   882.995011   16.992000   0.060000
OBS: 51931.320000   R   NULL   11282.361216   301.405465   17.369000   0.029000
OBS: 51931.320000   V   NULL   6735.967762   322.795840   17.929000   0.052000
OBS: 51931.320000   B   NULL   2900.013369   222.017571   18.844000   0.083000
OBS: 51937.260000   I   NULL   11117.317273   594.310343   17.385000   0.058000
OBS: 51937.260000   R   NULL   8871.560120   351.491128   17.630000   0.043000
OBS: 51937.260000   V   NULL   5877.599637   297.931761   18.077000   0.055000
OBS: 51939.280000   I   NULL   10073.954848   473.462171   17.492000   0.051000
OBS: 51939.280000   R   NULL   8226.213939   295.583598   17.712000   0.039000
OBS: 51939.280000   V   NULL   5495.408739   308.992517   18.150000   0.061000
OBS: 51943.230000   I   NULL   9221.466651   868.224401   17.588000   0.102000
OBS: 51943.230000   R   NULL   7733.925780   292.155662   17.779000   0.041000
OBS: 51943.230000   V   NULL   5460.092498   402.860169   18.157000   0.080000

END:
